kegg_id,drug_name,drug_name_jp,drug_name_0_jp
D00001,"Water (JP18/USP); Purified water (JP18); Purified water in containers (JP18); Water, purified (USP); Sterile purified water in containers (JP18); Water for injection (JP18); Water for injection in containers (JP18); Sterile water (TN)",大塚蒸留水,常水
D00002,Nadide (JAN/USAN/INN); Nicotinamide adenine dinucleotide,,ナダイド
D00003,Oxygen (JP18/USP),カノックス−L,酸素
D00004,Carbon dioxide (JP18/USP); Carbon dioxide (TN),二酸化炭素,二酸化炭素
D00005,Flavin adenine dinucleotide (JAN); Adeflavin (TN),,フラビンアデニンジヌクレオチド
D00006,Pyridoxal phosphate hydrate (JP18); Pyridoxal phosphate monohydrate; Hipyridoxin (TN),ピドキサール,ピリドキサールリン酸エステル水和物
D00007,Glutamic acid (USP); L-Glutamic acid (JP18),,L-グルタミン酸
D00008,Hydrogen peroxide (USP); Oxydol (JP18); Oxyfull (TN),オキシドール,オキシドール
D00009,Glucose (JP18); Purified glucose (JP18); D-Glucose,ブドウ糖,ブドウ糖
D00010,"Acetic acid, glacial (USP); Acetic acid (JP18/NF); Glacial acetic acid (JP18); Acetasol (TN)",氷酢酸,酢酸
D00011,Glycine (JP18/USP),,グリシン
D00012,Alanine (USP); L-Alanine (JP18),,L-アラニン
D00013,Aspartic acid (USP/INN); L-Aspartic acid (JP18),,L-アスパラギン酸
D00014,Glutathione (JP18); Glutathione (reduced type); Tathion (TN),タチオン,グルタチオン
D00015,Glutamine (USP); L-Glutamine (JP18); Levoglutamide; Endari (TN); Nutrestore (TN),,L-グルタミン
D00016,Serine (USP); L-Serine (JP18),,L-セリン
D00017,Formaldehyde (USP); Formalin (JP18),ホルマリン,ホルマリン
D00018,Ascorbic acid (JP18/USP/INN); Ascoltin (TN); Ascorbicap (TN); ASCOR (TN),アスコルビン酸,アスコルビン酸
D00019,Methionine (USP); L-Methionine (JP18); L-Methionine Z (TN),,L-メチオニン
D00020,Tryptophan (USP/INN); L-Tryptophan (JP18),,L-トリプトファン
D00021,Phenylalanine (USP/INN); L-Phenylalanine (JP18),,L-フェニルアラニン
D00022,Tyrosine (USP/INN); L-Tyrosine (JP18),,L-チロシン
D00023,Urea (JP18/USP); Carbamide; Pastaron (TN),ウレパール,尿素
D00024,"Sulfur, precipitated (USP); Sulfur, sublimed (USP); Sulfur (JP18); Bensulfoid (TN); Sastid (TN)",イオウ,イオウ
D00025,"Sucrose (JP18/NF); White soft sugar (JP18); Sugar, compressible (NF); Sugar, confectioner's (NF); Sugar spheres (NF); Sucrose, purified; Sucrose (TN)",白糖,精製白糖
D00026,L-Cysteine (JP18); Ecolan (TN),,L-システイン
D00027,Uracil (JAN/USAN),,ウラシル
D00028,"Glycerin (JP18/USP); Concentrated glycerin (JP18); Glycerin, concentrated (JAN); Glycerol (INN)",グリセリン,グリセリン
D00029,Biotin (JP18/USP/INN); Bioepiderm (TN),ビオチン,ビオチン
D00030,Leucine (USP); L-Leucine (JP18),,L-ロイシン
D00031,Oxiglutatione (JAN/INN); Glutathione (TN),ビーエスエスプラス,オキシグルタチオン
D00032,Histidine (USP/INN); L-Histidine (JP18),,L-ヒスチジン
D00033,"Phenol (JP18/USP); Liquefied phenol (JP18); Phenol for disinfection (JP18); Phenol, liquefied; Paoscle (TN); Phenol (TN); Liquefied phenol (TN); Phenol for disinfection (TN)",カルボール,フェノール
D00034,Adenine (JAN/USP); Leucon (TN),ロイコン,アデニン
D00035,Proline (USP); L-Proline (JP18),,L-プロリン
D00036,Niacinamide (USP); Nicotinamide (JP18/INN),ニコチン酸アミド,ニコチン酸アミド
D00037,"Citric acid, anhydrous (USP); Anhydrous citric acid (JP18); Citric acid anhydrous (JAN)",,無水クエン酸
D00038,Benzoic acid (JP18/USP); Benzoic acid (TN),安息香酸,安息香酸
D00039,Valine (USP); L-Valine (JP18),,L-バリン
D00040,Cholesterol (JP18/NF); Cholesterol (TN),,コレステロール
D00041,Threonine (USP); L-Threonine (JP18),,L-トレオニン
D00042,Cobamamide (JAN/INN); Calomide (TN),ハイコバール,コバマミド
D00043,Isoflurophate; Fluostigmine; Floropryl (TN),,イソフルロフェート
D00044,Maltose (NF); Madoros (TN),,マルトース
D00045,Adenosine (JAN/USP); Adenocard (TN); Adenoscan (TN),アデノスキャン,アデノシン
D00046,"Anhydrous lactose (JP18); Lactose, anhydrous (JAN/NF); Lactose (TN)",,無水乳糖
D00047,Taurine (JP18/USP/INN); Aminoethylsulfonic acid (JAN); Taurine (TN),タウリン,タウリン
D00048,Thioctic acid amide (JAN); Lipoamide,,チオクト酸アミド
D00049,Niacin (USP); Nicotinic acid (JP18/INN); Niacor (TN); Niaspan (TN),,ニコチン酸
D00050,Riboflavin (JP18/USP/INN); Bisulase (TN),,リボフラビン
D00051,Androstenedione (JAN),,アンドロステンジオン
D00052,Edetic acid (NF/INN); EDTA; Versene acid (TN),,エデト酸
D00054,Inosine (JAN/INN); Inotin (TN),,イノシン
D00055,Orotic acid (JAN),,オロチン酸
D00056,"Trypsin, crystallized (USP); Trypsin (JAN); Parenzyme (TN)",,結晶トリプシン
D00057,Citicoline (JP18/INN); Nicholin (TN),ニコリン,シチコリン
D00058,gamma-Aminobutyric acid (JAN); Gammalon (TN),ガンマロン,ガンマーアミノ酪酸
D00059,Levodopa (JP18/USP/INN); Dopar (TN),ドパストン,レボドパ
D00060,Dextran 1 (USP); Dextran (INN),,デキストラン
D00061,Xylitol (JP18/NF); Klinit (TN),キシリトール,キシリトール
D00062,Mannitol (USP); D-Mannitol (JP18); Osmitrol (TN); Tobrex (TN); Bronchitol (TN),20％マンニットール,D-マンニトール
D00063,Tobramycin (JP18/USP); Tobi (TN); Tobracin (TN); Tobrex (TN); Bethkis (TN),トブラシン,トブラマイシン
D00064,l-Menthol (JP18); Levomenthol; l-Menthol (TN),l−メントール,l-メントール
D00065,Isoleucine (USP); L-Isoleucine (JP18),,L-イソロイシン
D00066,Progesterone (JP18/USP/INN); Crinone (TN); Prometrium (TN),ウトロゲスタン,プロゲステロン
D00067,Estrone (JAN/USP/INN); Estrone (TN),,エストロン
D00068,Alcohol (USP); Anhydrous ethanol (JP18); Dehydrated ethanol; Ethyl alcohol; Dehydrated ethanol (TN),無水エタノール,無水エタノール
D00069,Vitamin A oil (JP18); Chocola A (TN),ザーネ,ビタミンA油
D00070,Folic acid (JP18/USP/INN); Folicet (TN),フォリアミン,葉酸
D00071,Fibronectin (human plasma) (JAN),,フィブロネクチン
D00072,Cytochrome c (JAN); Cytorest (TN),,チトクロムC
D00073,Hydroquinone (USP); Eldoquin (TN),,ヒドロキノン
D00074,Nitric oxide (JAN/USAN); INOmax (TN),アイノフロー,一酸化窒素
D00075,Testosterone (JAN/USP); Androderm (TN); Androgel (TN); Axiron (TN); Striant (TN); Testim (TN),,テストステロン
D00076,Noradrenaline (JP18); Norepinephrine (INN); Nor adrenalin (TN),ノルアドリナリン,ノルアドレナリン
D00077,Benzyl alcohol (JP18/NF/INN); Ulesfia (TN),,ベンジルアルコール
D00078,Propylene glycol (JP18/USP); Propylene glycol (TN),プロピレングリコール,プロピレングリコール
D00079,Dinoprostone (JAN/USP/INN); Cervidil (TN); Prepidil (TN); Prostin E2 (TN),プロウペス,ジノプロストン
D00080,Chondroitin sulfate A (JAN),,コンドロイチン硫酸A
D00081,Dinoprost (JP18/USAN/INN); Prosmon (TN),プロスタルモン,ジノプロスト
D00082,Pyridoxamine phosphate (JAN); Pyridoxamine phosphate dihydrate,,リン酸ピリドキサミン
D00083,Nitrogen (JP18/NF); Nitrogen (TN),カノックス−LN,窒素
D00084,Dextrin (JP18/NF),,デキストリン
D00085,Insulin (JAN/USP),,インスリン
D00086,Thioctic acid (JAN); Thiotomin (TN),チオクト酸,チオクト酸
D00087,Ubenimex (JP18/INN); Bestatin (TN),ベスタチン,ウベニメクス
D00088,Hydrocortisone (JP18/USP/INN); HC; Acticort (TN); Anusol HC (TN); Colocort (TN); Cortef (TN); Hytone (TN); Plenadren (TN),コートリル,ヒドロコルチゾン
D00089,Oxytocin (JP18/USP/INN); Oxytocin (TN); Pitocin (TN); Syntocinon (TN),アトニン,オキシトシン
D00090,Thrombin (JP18/USP/INN); Factor IIa; Thrombostat (TN),トロンビン,トロンビン
D00091,Vanillin (NF),,バニリン
D00092,Coptis rhizome (JP18); Powdered coptis rhizome (JP18); Coptis rhizome (TN),オウレン,オウレン
D00093,"Microcrystalline cellulose (JP18); Cellulose, microcrystalline (NF); Powdered cellulose (JP18); Avicel PH (TN)",,結晶セルロース
D00094,Tretinoin (JAN/USP/INN); Avita (TN); Renova (TN); Retin A (TN); Tretinoin (TN),ベサノイド,トレチノイン
D00095,Epinephrine (USP/INN); Adrenaline (JP18); Adrenalin (TN); Auvi-q (TN); Epipen (TN),アドレナリン,アドレナリン
D00096,Sorbitol solution (USP); D-Sorbitol (JP18); Sorbitol (NF); Sorbitol 3% in plastic container (TN),D−ソルビトール,D-ソルビトール
D00097,Salicylic acid (JP18/USP); Salicylic acid (TN),サリチル酸,サリチル酸
